product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
2020 Toyota C-HR LE,"$23,603 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,Not provided,Black Sand,T110003,Automatic CVT,JTNKHMBX0L1074077,null,(866) 229-4553
2020 Toyota C-HR LE,"$22,586 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,Not provided,Silver,T108840,Automatic CVT,JTNKHMBX7L1067823,null,(866) 229-4553
2020 Toyota C-HR LE,"$23,322 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,5,Gray Metallic,19512,Automatic CVT,JTNKHMBX4L1074499,null,(737) 843-6630
2020 Toyota C-HR LE,"$23,263 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,Not provided,Black Sand,T110298,Automatic CVT,JTNKHMBX8L1075056,null,(866) 229-4553
2020 Toyota C-HR LE,"$23,998 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,0,Blizzard Pearl,T069668,Automatic CVT,JTNKHMBX9L1069668,null,(888) 806-1579
2020 Toyota C-HR LE,"$23,219 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,0,Blizzard Pearl,T073454,Automatic CVT,JTNKHMBXXL1073454,null,(888) 806-1579
2020 Toyota C-HR LE,"$22,973 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,Not provided,Black Sand,T110230,Automatic CVT,JTNKHMBX4L1074955,null,(866) 229-4553
2020 Toyota C-HR LE,"$22,824 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,Not provided,Silver,T110005,Automatic CVT,JTNKHMBX6L1073709,null,(866) 229-4553
2020 Toyota C-HR LE,"$23,674 ",6 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,Black,FWD,2.0L I4 16V MPFI DOHC,6,Red,19346,Automatic CVT,JTNKHMBX6L1072107,null,(737) 843-6630
